time,symbol,side,,q,p,t,fee,
2020-07-31T09:30:03.193,LTCBNB,BUY,MARKET,0.05,2.772,0.1386,0.00010395,FILLED
2020-07-31T09:30:03.447,LTCBTC,SELL,MARKET,0.05,0.00511,0.0002555,0.00010574,FILLED
2020-07-31T09:30:03.518,BNBBTC,BUY,MARKET,0.12,0.0018454,0.000221448,9E-05,FILLED
2020-07-31T09:30:04.307,LTCBNB,BUY,MARKET,0.05,2.772,0.1386,0.00010395,FILLED
2020-07-31T09:30:04.711,LTCBTC,SELL,MARKET,0.05,0.00511,0.0002555,0.00010574,FILLED
2020-07-31T09:30:04.716,BNBBTC,BUY,MARKET,0.12,0.0018454,0.000221448,9E-05,FILLED
2020-07-31T09:30:05.169,LTCBNB,BUY,MARKET,0.05,2.772,0.1386,0.00010395,FILLED
2020-07-31T09:30:05.463,LTCBTC,SELL,MARKET,0.05,0.00511,0.0002555,0.00010574,FILLED
2020-07-31T09:30:05.571,BNBBTC,BUY,MARKET,0.12,0.0018454,0.000221448,9E-05,FILLED
2020-07-31T09:30:06.025,LTCBNB,BUY,MARKET,0.05,2.772,0.1386,0.00010395,FILLED
2020-07-31T09:30:06.261,BNBBTC,BUY,MARKET,0.12,0.0018453,0.000221436,9E-05,FILLED
2020-07-31T09:30:06.447,LTCBNB,BUY,MARKET,0.05,2.772,0.1386,0.00010395,FILLED
2020-07-31T09:30:06.596,LTCBTC,SELL,MARKET,0.05,0.00511,0.0002555,0.00010574,FILLED
2020-07-31T09:30:06.73,BNBBTC,BUY,MARKET,0.12,0.0018453,0.000221436,9E-05,FILLED
2020-07-31T09:30:08.254,LTCBNB,BUY,MARKET,0.05,2.772,0.1386,0.00010395,FILLED
2020-07-31T09:30:08.292,LTCBTC,SELL,MARKET,0.05,0.00511,0.0002555,0.00010574,FILLED
2020-07-31T09:30:08.295,BNBBTC,BUY,MARKET,0.12,0.001845,0.0002214,9E-05,FILLED
2020-07-31T09:30:08.742,LTCBTC,SELL,MARKET,0.05,0.00511,0.0002555,0.00010574,FILLED
2020-07-31T09:30:09.352,BNBBTC,BUY,MARKET,0.12,0.0018452,0.000221424,9E-05,FILLED
2020-07-31T09:30:09.681,LTCBNB,BUY,MARKET,0.05,2.772,0.1386,0.00010395,FILLED
